summary,L1,L2,L3,L4,L5
Show/hide links,Usability,Requirements,Usability,Requirements,Requirements
Mix and match exports,Requirements,Requirements,Requirements,Requirements,Requirements
Rulers,Usability,Requirements,Requirements,Requirements,Requirements
Allow Web Export (Outline & Maps) to export non-view nodes,Usability,Requirements,Requirements,Requirements,Requirements
The print dialogue does not remember settings,Usability,Capability,Requirements,Usability,Usability
Export of tags list (in outline format),Requirements,Requirements,Usability,Requirements,Requirements
Restore of project adds \n to Note node details,Usability,Capability,Usability,Capability,Capability
File browser does not allow thumbnails view,Usability,Usability,Usability,Usability,Usability
Help search index lists results twice,Documentation,Capability,Performance,Capability,Capability
broken interface element language references,Reliability,Capability,Usability,Capability,Reliability
When pasting (embedding) a node into a large view  it needs to be in the visi...,Usability,Usability,Usability,Usability,Usability
Failerd to open new activity node when using remote MySQL db,Reliability,Installability,Installability,Reliability,Reliability
Compendium LD won't launch,Installability,Installability,Installability,Installability,Installability
Make label-matching feature non case-sensitive,Usability,Capability,Usability,Usability,Capability
Snap-to-Grid,Usability,Usability,Requirements,Usability,Requirements
Opening concurrent multiple Derby databases,Requirements,Requirements,Requirements,Requirements,Requirements
Ability to set a preference for which node type gets created on text drag and...,Usability,Requirements,Usability,Usability,Requirements
Aerial view on map right-click menu,Usability,Requirements,Requirements,Requirements,Requirements
Saving complex searches in xml file,Requirements,Requirements,Requirements,Requirements,Requirements
Select one or more nodes and convert to copyable text,Usability,Usability,Usability,Requirements,Requirements
Prcocess drag and drop text for node types,Usability,Usability,Usability,Usability,Requirements
Save reference info when changing node type from reference to something else.,Requirements,Requirements,Requirements,Usability,Requirements
Drag nodes bewteen views,Requirements,Usability,Usability,Usability,Capability
print lists with row numbers,Usability,Requirements,Requirements,Requirements,Requirements
Add alt/ctrl/shift+arrow keys for quick linking,Usability,Usability,Usability,Usability,Requirements
Deleting a node from all views at once,Usability,Usability,Usability,Requirements,Requirements
Configurable ouput order in HTML Outline export.,Usability,Usability,Usability,Usability,Requirements
Write a Word-friendly XHTML export,Requirements,Requirements,Migration,Requirements,Requirements
Ability to reorder stencil set items,Usability,Usability,Usability,Requirements,Capability
Deep copy as clone,Usability,Requirements,Usability,Requirements,Capability
Deep copy as shortcuts,Usability,Requirements,Usability,Requirements,Capability
Hot key to open a Map's Contents,Requirements,Usability,Usability,Usability,Usability
Improved export to Word,Usability,Capability,Migration,Capability,Capability
Give users the ability to assign keyboard shortcuts on their own to certain o...,Usability,Usability,Usability,Usability,Usability
More Reporting options,Requirements,Requirements,Migration,Requirements,Requirements
Many more undo options,Usability,Requirements,Usability,Requirements,Requirements
It would be nice if XML import was a little smarter in its handling of overwr...,Requirements,Capability,Migration,Capability,Capability
Touch Graph View,Requirements,Requirements,Usability,Requirements,Requirements
Improve display scrolling when dragging against edges of map,Usability,Usability,Usability,Capability,Usability
multiple row drag in lists - show positioning when dragged,Usability,Usability,Usability,Requirements,Usability
After paste into list  view should scroll to location of pasted node and re-sort,Usability,Usability,Usability,Usability,Usability
Send To command,Requirements,Requirements,Usability,Requirements,Requirements
Enhancement: Option to toggle off inclusion of Reference node link informatio...,Capability,Capability,Usability,Capability,Capability
"Extend ""Transclude to New Map""",Reliability,Requirements,Usability,Requirements,Requirements
Full path reference node in html exports,Usability,Capability,Usability,Usability,Capability
Speed up XML imports,Performance,Performance,Migration,Performance,Performance
Boxed nodes,Usability,Usability,Usability,Usability,Requirements
Multiple improvements supporting formatting for web exports and linking,Usability,Capability,Usability,Capability,Capability
Allow partial bold  italic  underline in node labels,Usability,Usability,Usability,Usability,Usability
Box around labels,Usability,Usability,Usability,Requirements,Usability
"""Map include"" capability",Requirements,Requirements,Requirements,Requirements,Requirements
Improvements to web map export - no TOC and friendly URLs,Usability,Requirements,Migration,Capability,Capability
Scribble enhancements,Usability,Usability,Usability,Usability,Requirements
Underline for node labels,Usability,Requirements,Usability,Requirements,Capability
Allow search on 'extra' Map and Reference Node fields (e.g.  Ref  Icon Image ...,Usability,Requirements,Usability,Capability,Requirements
print options and email,Usability,Usability,Usability,Usability,Requirements
mindmap view,Requirements,Requirements,Usability,Requirements,Requirements
Pre-made backgrounds,Usability,Requirements,Usability,Requirements,Requirements
Outline and grid views (as view types),Requirements,Requirements,Usability,Requirements,Requirements
Accents in search function,Usability,Capability,Usability,Capability,Capability
Print could use a fit to page option,Usability,Usability,Usability,Capability,Capability
print to a poster-printer,Usability,Requirements,Usability,Requirements,Capability
GLOBAL: Printing Issues Master,Requirements,Requirements,Usability,Requirements,Requirements
Paste Special,Requirements,Requirements,Migration,Requirements,Requirements
Image size gets changed for all transclusions  not just current map,Usability,Capability,Usability,Capability,Capability
How to Change Project Directory,Documentation,Documentation,Usability,Documentation,Usability
Deleting linked stencils does not remove links (NULL errors); most functions ...,Reliability,Capability,Installability,Reliability,Reliability
Creating new projects with blank MySQL database doesn't work,Reliability,Installability,Usability,Capability,Installability
Compendium freezes at the click of any icon.,Reliability,Capability,Usability,Reliability,Reliability
Download Problems,Installability,Installability,Usability,Installability,Installability
Error on deleting nodes created from import of XML file,Reliability,Capability,Migration,Reliability,Reliability
Timing info for a task node is clipped if the task label string is short,Usability,Capability,Usability,Usability,Usability
Dragging and dropping on linux needs further testing,Migration,Capability,Usability,Capability,Capability
Error on HTML export,Reliability,Capability,Migration,Reliability,Reliability
Conversion from MySql to Derby database,Migration,Migration,Migration,Migration,Migration
Learnuing output: summative icon not output in SVG,Usability,Capability,Usability,Capability,Capability
Copying and pasting an internal reference node from one map to another does n...,Reliability,Capability,Usability,Reliability,Reliability
setting up compendiem,Installability,Installability,Installability,Installability,Installability
"""Reading"" node by viewing node contents via node's text indicator tooltip",Capability,Usability,Usability,Usability,Capability
Internal ref node doesn't go away from Unread view,Usability,Usability,Usability,Usability,Usability
<Title> tags for web exports,Usability,Usability,Usability,Requirements,Usability
duplication of contents of nodes on export,Usability,Capability,Migration,Capability,Capability
GLOBAL: Advance Search Interface / Simple Search Interface,Requirements,Requirements,Migration,Usability,Requirements
Word-friendly export that isn't an outline,Requirements,Requirements,Migration,Requirements,Requirements
Simple copy selected node labels to plaintext clipboard,Usability,Requirements,Usability,Usability,Usability
Link label text needs to be included in text exports,Usability,Requirements,Migration,Requirements,Usability
Make Mac kb combinations work 'both ways',Standards,Usability,Usability,Usability,Requirements
GLOBAL: Decision making features.,Requirements,Requirements,Usability,Requirements,Requirements
GLOBAL: Word Processing Friendly Exports,Requirements,Requirements,Migration,Requirements,Requirements
GLOBAL: Web Exports,Requirements,Requirements,Migration,Requirements,Requirements
"""Home Window"" labels need to actually have the user names as part of their da...",Usability,Usability,Migration,Capability,Usability
Reverse link,Requirements,Usability,Migration,Requirements,Usability
Add count of views and nodes exported to export completed dialogs,Requirements,Usability,Migration,Requirements,Usability
Addional syntax for Jabber messages / nodes detail interpretation,Requirements,Requirements,Requirements,Usability,Requirements
After opening a view from the Views tab  the node window should close,Usability,Usability,Requirements,Usability,Capability
Unique URLs for nodes in the new JPG export,Requirements,Requirements,Migration,Usability,Usability
Copy both label/detail text to system clipboard in one go,Requirements,Usability,Usability,Usability,Usability
Delete key on link label box should allow delete of link with prompt if no text,Usability,Requirements,Usability,Usability,Usability
DnD label options - preference,Requirements,Requirements,Usability,Usability,Usability
Enhancement: Global preference for arrowhead styles,Requirements,Usability,Usability,Usability,Requirements
Export selected nodes on HTML outline,Usability,Requirements,Migration,Requirements,Requirements
Formatting detail font size,Usability,Usability,Usability,Requirements,Usability
Hand icon for right-drag movement,Usability,Usability,Usability,Usability,Usability
Currently active Tag group in Search,Usability,Usability,Usability,Usability,Requirements
Increase row height of lists,Usability,Usability,Usability,Usability,Usability
Link from one node to a bunch of selected nodes,Requirements,Requirements,Usability,Requirements,Requirements
Optional page info detail on HTML Views Detail view,Requirements,Requirements,Usability,Usability,Usability
Links start from center,Requirements,Usability,Usability,Usability,Usability
Mini search for list labels within a list view,Requirements,Requirements,Usability,Requirements,Requirements
Paste text into view should create new node,Usability,Requirements,Usability,Usability,Usability
Make Find a Map/List floating or persistent,Requirements,Usability,Usability,Requirements,Usability
Tag assignment speed issues,Usability,Usability,Performance,Usability,Usability
Upping the HTML outline indent level from 6,Requirements,Requirements,Usability,Capability,Requirements
When switching views  any nodes that are selected are highlighted (with a bor...,Usability,Requirements,Usability,Usability,Usability
"Paste from List into Map should be in ""List"" form",Usability,Capability,Usability,Capability,Usability
Concept Node,Requirements,Requirements,Requirements,Requirements,Requirements
Automatic file resize option for dragged-in graphics,Usability,Usability,Requirements,Requirements,Usability
Checkbox on export to open containing folder,Requirements,Requirements,Requirements,Usability,Requirements
"Concept of a ""Commons"" map",Usability,Requirements,Capability,Requirements,Requirements
Drag n Drop node text into nodes,Usability,Requirements,Usability,Usability,Usability
Give the ability to assign kb shortcuts to menu commands (or other actions?),Requirements,Usability,Usability,Requirements,Requirements
Merge Save As JPEG and HTML Outline,Requirements,Requirements,Requirements,Requirements,Requirements
Make favorites for view only - on select  open view,Usability,Usability,Usability,Usability,Usability
Facility to add new reference node images for given file types,Requirements,Requirements,Usability,Usability,Requirements
No Passwords (may be resolved now),Requirements,Integrity/Security,Integrity/Security,Integrity/Security,Requirements
Node colours and borders,Usability,Usability,Usability,Capability,Usability
Related Nodes (may be partially resolved with new Internal Ref nodes),Requirements,Requirements,Usability,Requirements,Requirements
Print options for how many pages to use,Requirements,Usability,Usability,Requirements,Requirements
Scribble pad needs text tool,Requirements,Requirements,Usability,Requirements,Requirements
Collection of Search issues (needs to be reviewed/broken up),Requirements,Capability,Usability,Requirements,Requirements
Snapshot web page when you Ref it,Requirements,Requirements,Usability,Requirements,Requirements
Speed up cut/paste with images,Performance,Performance,Performance,Performance,Performance
The dock for making regular transclusions,Requirements,Usability,Requirements,Requirements,Requirements
"Use a Claimaker-style interface for Linking Info (""the Neighborhood"")",Usability,Usability,Usability,Usability,Requirements
Export feature that generates a complete website with contents page,Requirements,Requirements,Usability,Requirements,Requirements
Abandon shortctuts and allow multiple transclusions in a view (?),Requirements,Requirements,Usability,Requirements,Requirements
Addressable Nodes,Requirements,Requirements,Requirements,Requirements,Requirements
Arrange -- multiple (needs review),Usability,Usability,Usability,Usability,Usability
Catalog views,Usability,Requirements,Requirements,Requirements,Requirements
Collapse nodes into one node,Usability,Usability,Requirements,Requirements,Usability
Dnd for movie files display first frame as icon image,Usability,Requirements,Usability,Usability,Usability
Drap n Drop between external applications,Usability,Requirements,Usability,Requirements,Requirements
Expand/collapse branches from selected nodes,Usability,Usability,Usability,Requirements,Requirements
Hide all branches except selected node,Usability,Usability,Usability,Requirements,Requirements
HTML editing,Usability,Usability,Usability,Usability,Usability
Image resizing (at least partially resolved in 1.5.1),Usability,Requirements,Usability,Usability,Usability
New undo options,Requirements,Requirements,Usability,Requirements,Requirements
Sound and movie rollover,Requirements,Requirements,Usability,Requirements,Requirements
Tranclusions in the same map,Requirements,Usability,Usability,Requirements,Requirements
Wheel used for view drag on/off,Usability,Usability,Usability,Usability,Usability
Nice export ideas from Chuck,Requirements,Requirements,Migration,Requirements,Requirements
Dragging nodes against edges of map should scroll continuously,Usability,Usability,Usability,Capability,Usability
Preserve label formatting in Outline export,Usability,Capability,Usability,Usability,Usability
Option to have automatic outline numbering for 'tree' view,Requirements,Requirements,Usability,Requirements,Requirements
Provide a way to create a new node  not linked to current node  but right nex...,Usability,Usability,Usability,Requirements,Usability
Cntrl drag in white space to scroll the canvas,Usability,Usability,Usability,Usability,Usability
Control +arrows page in direction of arrow,Requirements,Usability,Requirements,Requirements,Requirements
Drag n Drop node link into detail,Usability,Requirements,Usability,Requirements,Requirements
Drag nodes into Trashbin,Usability,Requirements,Usability,Requirements,Requirements
Draw arrows so they don't shift when you add new label text,Usability,Requirements,Usability,Usability,Requirements
Include links to/from shortcuts to a node in the Linking Info for that node (...,Requirements,Requirements,Usability,Requirements,Requirements
Export multiple JPGs  not just one,Requirements,Requirements,Migration,Requirements,Requirements
File:// in reference nodes,Requirements,Capability,Requirements,Reliability,Usability
Html export outline and links - option,Requirements,Requirements,Migration,Requirements,Requirements
Hot keys or buttons for moving selected text from Label to Detail and vice versa,Usability,Requirements,Usability,Requirements,Requirements
Long link line jumps,Usability,Requirements,Usability,Usability,Usability
Reverse two nodes,Usability,Requirements,Usability,Requirements,Requirements
Set the default paper size,Capability,Capability,Usability,Capability,Capability
Turn nodes to Tags,Usability,Requirements,Usability,Requirements,Requirements
Transclude multiple nodes to new map,Usability,Requirements,Requirements,Requirements,Requirements
Turning off Rollovers for some nodes,Usability,Capability,Requirements,Usability,Usability
Update Audio Library,Requirements,Capability,Requirements,Integrity/Security,Requirements
Convert nodes to text details  and v-v,Usability,Requirements,Usability,Requirements,Usability
Maintaining label-edit selection when switching applications,Usability,Usability,Usability,Usability,Usability
2 QuestMap impoprt issues,Migration,Capability,Usability,Capability,Capability
Any prompt which relates to a Preferences setting has a checkbox to remember ...,Requirements,Usability,Usability,Usability,Usability
Auditing/versioning,Requirements,Documentation,Requirements,Requirements,Requirements
Auto linking,Requirements,Requirements,Requirements,Requirements,Requirements
Command line url interface,Requirements,Requirements,Requirements,Usability,Requirements
Reference node that opens other Compendium databases,Requirements,Requirements,Requirements,Requirements,Requirements
Ctrl Y - repeat last action,Requirements,Usability,Requirements,Usability,Usability
LaTeX Support,Requirements,Requirements,Requirements,Requirements,Requirements
Submit Compendium to one or more freeware web sites,Installability,Documentation,Documentation,Installability,Installability
Tags View > Insert into View - Confusion,Requirements,Usability,Requirements,Usability,Usability
MAP NODE NOT RESPONDING,Reliability,Performance,Installability,Reliability,Reliability
Undo for changing image size,Usability,Usability,Usability,Usability,Usability
Hourglass for long map open (e.g. with images),Usability,Usability,Usability,Usability,Usability
Hourglass for image size change,Usability,Usability,Usability,Usability,Usability
tags and tag groups aren't exported,Reliability,Capability,Migration,Capability,Capability
A number of features I thought would be cool (plus two bugs),Requirements,Requirements,Requirements,Requirements,Requirements
The ability to temporarily 'lock' views open,Requirements,Requirements,Usability,Requirements,Requirements
User settable MySQL database prefixes,Requirements,Requirements,Usability,Usability,Usability
Issues with using find to pull together nodes with multiple tags,Reliability,Migration,Requirements,Reliability,Reliability
Left-right scrolling,Usability,Usability,Usability,Usability,Usability
Closing a node should save contents,Usability,Requirements,Usability,Usability,Usability
Backspace should not delete nodes,Usability,Usability,Usability,Usability,Usability
Tablet PCs and graphics drivers bug,Installability,Capability,Requirements,Reliability,Reliability
Exporting to an XML file in an off-line directory can cause the file to be co...,Reliability,Usability,Migration,Reliability,Reliability
There can be problems with permissions and Compendium accessing/creating subf...,Reliability,Capability,Integrity/Security,Reliability,Reliability
Request label to detail auto jump be done at word breaks not character breaks,Migration,Requirements,Requirements,Capability,Requirements
Suggest naming it Install-Compendium-1.5.2.pkg,Installability,Documentation,Documentation,Installability,Documentation
Start up problem - movie invisible  welcome maps not apparent,Installability,Capability,Installability,Capability,Reliability
Allow the Inbox feature to be an option. Enable/disable,Usability,Requirements,Usability,Requirements,Usability
Warn user that they can't send a node to other users' inboxes from their home...,Usability,Usability,Usability,Usability,Usability
Email notifications for shared Compendium projects,Requirements,Requirements,Requirements,Requirements,Requirements
Unread View should refresh dynamically,Usability,Capability,Usability,Capability,Usability
Add set as default to project mgmt window,Usability,Usability,Usability,Usability,Usability
Cannot use trackpad on a powerbook,Migration,Capability,Usability,Capability,Capability
Pan Map changes,Usability,Requirements,Usability,Requirements,Usability
Copy-paste of nodes does not escape newline characters,Reliability,Capability,Usability,Capability,Usability
Is Compendium free software ?,Documentation,Documentation,Documentation,Documentation,Documentation
OpenLearn export fails when a map has circular links,Migration,Capability,Migration,Reliability,Reliability
Power Export should generate index.html with links to all exports,Migration,Requirements,Migration,Requirements,Usability
Full screen mode,Usability,Requirements,Usability,Requirements,Usability
Number of nodes in a view object not reflecting the actual number of nodes in...,Usability,Capability,Usability,Capability,Usability
Support for SQL Server/Oracle as a centralised database,Migration,Requirements,Migration,Requirements,Installability
Accelerated creation of user-defined stencil,Usability,Usability,Usability,Usability,Usability
Once saved are Compendium maps spotlight searchable?,Documentation,Requirements,Requirements,Requirements,Usability
How to uninstall Compendium?,Installability,Documentation,Documentation,Documentation,Documentation
maps not opening and node not linking with arrows,Reliability,Capability,Performance,Reliability,Usability
Standalone Version?,Requirements,Requirements,Requirements,Installability,Requirements
Views tags by usage  recency  and by cloud,Usability,Usability,Usability,Usability,Usability
Typing tags should autocomplete  and not give error,Usability,Usability,Usability,Usability,Usability
Add Right-click - Select All dependent nodes,Usability,Usability,Usability,Usability,Usability
Add new node between existing nodes,Usability,Usability,Usability,Usability,Usability
Runtime error with clicking on icons/dragging icons in map view,Reliability,Capability,Usability,Reliability,Reliability
Using Enter on map background for easy node creation,Usability,Requirements,Usability,Usability,Usability
"Picasa-style ""star"" button for easy node tagging",Usability,Usability,Usability,Usability,Usability
Dim Make Tags and Make Groups unless text entered,Usability,Usability,Usability,Usability,Usability
directly open items in working tags area,Usability,Usability,Usability,Usability,Usability
copy an openned map,Usability,Usability,Usability,Capability,Usability
Ability to turn cross-links off/on,Usability,Requirements,Usability,Usability,Usability
Options for link route placement/adjustment,Usability,Requirements,Usability,Requirements,Usability
Functionality to join links with other links,Usability,Requirements,Requirements,Requirements,Usability
Frequency and/or prominence of node content within a map.,Usability,Requirements,Requirements,Requirements,Usability
Ability to apply a specified size to multiple selected nodes for images or ic...,Usability,Requirements,Usability,Usability,Usability
Indented text export to MS Word and Power Point,Migration,Requirements,Migration,Requirements,Requirements
A removable frame/window workspace for text document access,Requirements,Requirements,Usability,Requirements,Usability
When exporting  Compendium should select the last folder exported to within a...,Migration,Usability,Migration,Usability,Usability
An amalgamation of features from Google style search functionality and treema...,Requirements,Requirements,Requirements,Usability,Requirements
Analysis and Statistical Features,Requirements,Requirements,Requirements,Requirements,Requirements
Drop Drag for external applications,Usability,Requirements,Migration,Usability,Usability
I18N - compound characters ignored,Capability,Capability,Usability,Capability,Capability
wikipedia page for compendium software,Documentation,Documentation,Documentation,Documentation,Documentation
MySQL query speed,Performance,Performance,Performance,Performance,Performance
User option to specify font size of fonts used in Compendium dialog boxes.,Usability,Usability,Usability,Usability,Usability
Need a volunteer?,Documentation,Documentation,Documentation,Documentation,Documentation
Problem with Greek language txt notes,Installability,Capability,Installability,Installability,Capability
Help in using Compendium in a group working environment,Usability,Documentation,Requirements,Documentation,Usability
Compendium freezes after clicking on an icon,Reliability,Capability,Installability,Reliability,Reliability
Command Line access for Export operation,Requirements,Requirements,Migration,Requirements,Requirements
launch application,Installability,Capability,Installability,Capability,Capability
Paths in Reference nodes are not platform-agnostic,Migration,Capability,Migration,Capability,Migration
root user for MySQL,Installability,Requirements,Integrity/Security,Integrity/Security,Integrity/Security
Enhance pathways to update Tags,Usability,Requirements,Usability,Requirements,Requirements
Enhance pathways to update Tags,Usability,Usability,Usability,Usability,Usability
Enhance pathways to update Tags,Usability,Usability,Usability,Usability,Usability
Improvements to outline,Requirements,Requirements,Requirements,Requirements,Requirements
trouble logging in,Installability,Installability,Installability,Installability,Installability
Will not QUIT the program when using MySql,Reliability,Capability,Usability,Capability,Capability
This link to download icon sets is dead,Documentation,Documentation,Reliability,Capability,Installability
Failure to initiate Compendium,Installability,Installability,Installability,Installability,Installability
Allow node text background to be transparent as well,Usability,Requirements,Usability,Usability,Usability
Leopard update,Migration,Migration,Migration,Migration,Migration
Add ability to search externally referenced documents from within Compendium,Requirements,Requirements,Usability,Requirements,Requirements
XML Export corrupt on linux,Migration,Capability,Migration,Capability,Reliability
List views should show custom icons for List  Map  and Reference nodes,Usability,Capability,Usability,Capability,Usability
"Create ""template"" Stencil item",Requirements,Usability,Usability,Usability,Usability
Default the Node Image field to selected node type's image,Usability,Usability,Usability,Usability,Usability
Clearly indicate required fields in Stencil dialogs,Usability,Usability,Usability,Usability,Usability
Default buttons in Stencil dialogs,Usability,Capability,Usability,Capability,Capability
program will not start,Installability,Installability,Installability,Installability,Installability
List Node Header Spacing is not Remembered,Usability,Usability,Usability,Usability,Usability
"Following the ""Please Contact Support"" instructions",Installability,Documentation,Documentation,Documentation,Documentation
question about installation,Installability,Installability,Installability,Installability,Installability
downloading and installing on Mac OS Tiger,Installability,Installability,Installability,Installability,Installability
Feature Request,Requirements,Requirements,Requirements,Requirements,Requirements
Node position info needs rethinking as it is causing problems,Requirements,Capability,Requirements,Capability,Usability
XML Export/Import needs to include the node formatting information,Migration,Requirements,Migration,Requirements,Usability
Add weight indicator to trashbin icon,Requirements,Requirements,Usability,Requirements,Usability
Add column sorting on icon indicator columns in list and task tables,Usability,Requirements,Usability,Requirements,Usability
Overlaying shortcut icon on node icon image,Usability,Capability,Usability,Usability,Capability
Template import option to leave nodes as unread rather than make then all read.,Requirements,Capability,Usability,Requirements,Requirements
dragging tags to move them into a tag group is not working for me,Reliability,Capability,Usability,Capability,Reliability
include tags and tag groups in web map exports,Migration,Usability,Usability,Usability,Usability
Checkbox node or an option to have a checkbox besides the text,Usability,Usability,Usability,Requirements,Requirements
Web site download fails,Documentation,Installability,Reliability,Installability,Installability
Research feature,Usability,Requirements,Requirements,Requirements,Requirements
Export characteristics,Migration,Requirements,Requirements,Capability,Usability
HTML Export Feature,Migration,Requirements,Requirements,Requirements,Requirements
Download page not available,Documentation,Installability,Installability,Installability,Installability
CPU usage spikes when mouse pointer is over a node,Performance,Performance,Performance,Performance,Performance
How to write the link in the html file,Usability,Documentation,Reliability,Capability,Capability
can't download more than one time,Installability,Installability,Installability,Installability,Installability
I Had a dream...,Requirements,Requirements,Requirements,Requirements,Requirements
Tag usage improvement,Migration,Requirements,Requirements,Requirements,Usability
WebMap has a problem in Firefox with scrolling,Migration,Capability,Migration,Capability,Usability
